date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:17	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2260dc485badab4cfd6a64364df20a2b96%22	https://covix.framer.website/robots.txt		(from )
18:39:18	1351689/1351689	---M-Z	200	added ('OK')	text/html	etag:%22a4615fc67a6ac2db5c19a6a16728065d%22	https://covix.framer.website/	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/covix.framer.website/index.html	(from )
18:39:18	1390/1390	---MC-	200	added ('OK')	image/png	etag:%228bd8195485011d00fd32e4ba144e3524%22	https://framerusercontent.com/images/0d79ROkNQgyOZHU6CDM6mDSoIgw.png	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/0d79ROkNQgyOZHU6CDM6mDSoIgw.png	(from https://covix.framer.website/)
18:39:18	1390/1390	---MC-	200	added ('OK')	image/png	etag:%22a6eec457d5bee14c3be29685da901afb%22	https://framerusercontent.com/images/w4Al0WkGMeDD8BWgFhvtrnqiEQI.png	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/w4Al0WkGMeDD8BWgFhvtrnqiEQI.png	(from https://covix.framer.website/)
18:39:18	164299/164299	---MC-	200	added ('OK')	image/png	etag:%22f8c54a80c125bac80b5e9fe2a426b3bf%22	https://framerusercontent.com/images/oyJKk9TwCqvtzfpGxeJuGTe8iMM.png	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/oyJKk9TwCqvtzfpGxeJuGTe8iMM.png	(from https://covix.framer.website/)
18:39:19	3052/3052	---MC-	200	added ('OK')	image/png	etag:%222a17eb062d6ebaed9ed32274011f7ec5%22	https://framerusercontent.com/images/zlOD13rfu09kzt3VJ9wumwuzTRo.png?width=1084&height=1020	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/zlOD13rfu09kzt3VJ9wumwuzTRo619f.png	(from https://covix.framer.website/)
18:39:19	2720/2720	---MC-	200	added ('OK')	image/png	etag:%22a7e5833c9ed11dbf98b3ff601d94a617%22	https://framerusercontent.com/images/hN5ungOLvc4v8uHKIe8UW7vn8.png?width=388&height=102	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/hN5ungOLvc4v8uHKIe8UW7vn84275.png	(from https://covix.framer.website/)
18:39:20	467825/467825	---M-Z	200	added ('OK')	text/html	etag:%22cf0d78dc19d0bd1adc36ba4a0f554ecd%22	https://covix.framer.website/work	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/covix.framer.website/work.html	(from https://covix.framer.website/)
18:39:20	377084/377084	---M-Z	200	added ('OK')	text/html	etag:%22e45ff217a83e88da48b338fac98aab4e%22	https://covix.framer.website/blog	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/covix.framer.website/blog.html	(from https://covix.framer.website/)
18:39:20	278039/278039	---M-Z	200	added ('OK')	text/html	etag:%2248a853a4fd29999c29081f1dcdb7771f%22	https://covix.framer.website/contact	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/covix.framer.website/contact.html	(from https://covix.framer.website/)
18:39:21	1993/1993	---MC-	200	added ('OK')	image/png	etag:%22389740e2e2d6901ef0a865d53e9d91c6%22	https://framerusercontent.com/images/n0nOQKV0nPxqTAPNI1XneZvY.png?width=952&height=620	C:/Users/lrodr/Documents/GitHub/garmscales/UX%20NUEVA%20Y%20FINAL/framerusercontent.com/images/n0nOQKV0nPxqTAPNI1XneZvYa909.png	(from https://covix.framer.website/)
